,0
Earl of Squirrel,271
Forest,86
Island,83
Mountain,79
Plains,67
Swamp,64
Giant Growth,32
Dark Ritual,26
Disenchant,26
Counterspell,24
Fireball,24
Air Elemental,23
Giant Spider,21
Bog Wraith,19
Armageddon,18
Birds of Paradise,18
Circle of Protection: Red,18
Drudge Skeletons,18
Fog,18
Healing Salve,18
Hurricane,18
Llanowar Elves,18
Gravedigger,18
Grizzly Bears,17
Hill Giant,17
Howling Mine,16
Circle of Protection: Black,16
Black Knight,15
Earthquake,15
Fear,15
Firebreathing,15
Goblin King,15
Holy Strength,15
Jayemdae Tome,15
Lightning Bolt,15
Boomerang,15
Lava Axe,15
Circle of Protection: Blue,14
Circle of Protection: Green,14
Circle of Protection: White,14
Dragon Whelp,14
Flight,14
Clockwork Beast,13
Craw Wurm,13
Crusade,13
Disrupting Scepter,13
Elvish Archers,13
Flashfires,13
Force of Nature,13
Glasses of Urza,13
Hypnotic Specter,13
Juggernaut,13
Lure,13
Mahamoti Djinn,13
Bog Imp,13
Animate Dead,12
Balance,12
Crystal Rod,12
Dingus Egg,12
Disintegrate,12
Drain Life,12
Earth Elemental,12
Howl from Beyond,12
Elven Riders,12
Incinerate,12
Pacifism,12
Elvish Champion,12
Animate Wall,11
Ankh of Mishra,11
Bad Moon,11
Castle,11
Clone,11
Cursed Land,11
Death Ward,11
Evil Presence,11
Feedback,11
Fire Elemental,11
Goblin Balloon Brigade,11
Icy Manipulator,11
Iron Star,11
Ivory Cup,11
Merfolk of the Pearl Trident,11
Aladdin's Ring,11
Flying Carpet,11
Energy Flux,11
Fallen Angel,11
Dark Banishing,11
Blaze,11
Benalish Hero,10
Black Vise,10
Blue Elemental Blast,10
Channel,10
Cockatrice,10
Control Magic,10
Deathgrip,10
Drain Power,10
Fungusaur,10
Gloom,10
Ironclaw Orcs,10
Jade Monolith,10
Mons's Goblin Raiders,10
City of Brass,10
Detonate,10
Dragon Engine,10
Ball Lightning,10
Abyssal Specter,10
Terror,10
Rampant Growth,10
Lightning Elemental,10
Glorious Anthem,10
Diabolic Tutor,10
Naturalize,10
Cancel,10
Animate Artifact,9
Aspect of Wolf,9
Badlands,9
Burrowing,9
Conversion,9
Demonic Tutor,9
Dwarven Warriors,9
Frozen Shade,9
Gaea's Liege,9
Hurloon Minotaur,9
Instill Energy,9
Island Sanctuary,9
Jump,9
Lord of Atlantis,9
Mesa Pegasus,9
Bottle of Suleiman,9
Dancing Scimitar,9
Desert Twister,9
Kird Ape,9
Durkwood Boars,9
Duress,9
Coercion,9
Raging Goblin,9
Mana Leak,9
Coat of Arms,9
Angel of Mercy,9
Fertile Ground,9
Consume Spirit,9
Demon's Horn,9
Dragon's Claw,9
Bayou,8
Black Ward,8
Blessing,8
Blue Ward,8
Celestial Prism,8
Chaoslace,8
Conservator,8
Creature Bond,8
Deathlace,8
Gray Ogre,8
Green Ward,8
Helm of Chatzuk,8
Holy Armor,8
Ironroot Treefolk,8
Living Lands,8
Lord of the Pit,8
Manabarbs,8
Erg Raiders,8
Eye for an Eye,8
Battering Ram,8
Colossus of Sardia,8
Crumble,8
Grapeshot Catapult,8
Ivory Tower,8
Alabaster Potion,8
Gaseous Form,8
Fellwar Stone,8
Shock,8
Brainstorm,8
Whirling Dervish,8
Stone Rain,8
Creeping Mold,8
Angelic Blessing,8
Mind Rot,8
Overrun,8
Goblin Piker,8
Sakura-Tribe Elder,8
Avatar of Woe,8
Angel's Feather,8
Kraken's Eye,8
Oblivion Ring,8
Basalt Monolith,7
Braingeyser,7
Copy Artifact,7
Demonic Hordes,7
Fastbond,7
Fork,7
Granite Gargoyle,7
Karma,7
Keldon Warlord,7
Kormus Bell,7
Kudzu,7
Ley Druid,7
Library of Leng,7
Lifeforce,7
Living Wall,7
Mana Flare,7
Mana Short,7
Mana Vault,7
Mind Twist,7
Nether Shadow,7
Bird Maiden,7
Brass Man,7
Ebony Horse,7
Erhnam Djinn,7
Giant Tortoise,7
Jandor's Saddlebags,7
Amulet of Kroog,7
Armageddon Clock,7
Ashnod's Altar,7
Atog,7
Circle of Protection: Artifacts,7
Clay Statue,7
Clockwork Avian,7
Coral Helm,7
Hurkyl's Recall,7
Jalum Tome,7
Mishra's Factory,7
Azure Drake,7
Blight,7
Divine Offering,7
Divine Transformation,7
Giant Strength,7
Ashes to Ashes,7
Goblin Digging Team,7
Inferno,7
Shivan Dragon,7
Adarkar Wastes,7
Brushland,7
Power Sink,7
Balduvian Horde,7
Infantry Veteran,7
Man-o'-War,7
Ardent Militia,7
Horned Turtle,7
Snapping Drake,7
Bottle Gnomes,7
Furnace of Rath,7
Evacuation,7
Ravenous Rats,7
Blanchwood Armor,7
Corrupt,7
Serra Angel,7
Elvish Warrior,7
Lightning Greaves,7
Loxodon Warhammer,7
Condemn,7
Harmonize,7
Negate,7
Terramorphic Expanse,7
Contract from Below,6
Darkpact,6
Demonic Attorney,6
Earthbind,6
Farmstead,6
Guardian Angel,6
Lance,6
Lifelace,6
Lifetap,6
Living Artifact,6
Magical Hack,6
Meekstone,6
Nettling Imp,6
Nevinyrral's Disk,6
Aladdin's Lamp,6
Cuombajj Witches,6
Dandân,6
El-Hajjâj,6
Ghazbán Ogre,6
Island Fish Jasconius,6
Ashnod's Transmogrant,6
